question,cypher_exact_match,cypher_relevancy_score,cypher_correctness_score,execution_accuracy,answer_relevancy_score,answer_correctness_score,generated_cypher,generated_answer,expected_cypher,expected_answer
Find shipments without dispatch dates,True,1.0,1.0,True,0.0,1.0,MATCH (s:Shipment) WHERE s.dispatch_date IS NULL RETURN s.tracking_number,"[{'s.tracking_number': '9101'}, {'s.tracking_number': '6501'}, {'s.tracking_number': '2724'}, {'s.tracking_number': '8824'}, {'s.tracking_number': '5879'}, {'s.tracking_number': '7107'}, {'s.tracking_number': '4004'}, {'s.tracking_number': '4005'}, {'s.tracking_number': '4008'}, {'s.tracking_number': '4015'}, {'s.tracking_number': '4017'}]",MATCH (s:Shipment) WHERE s.dispatch_date IS NULL RETURN s.tracking_number,"[{'s.tracking_number': '9101'}, {'s.tracking_number': '6501'}, {'s.tracking_number': '2724'}, {'s.tracking_number': '8824'}, {'s.tracking_number': '5879'}, {'s.tracking_number': '7107'}, {'s.tracking_number': '4004'}, {'s.tracking_number': '4005'}, {'s.tracking_number': '4008'}, {'s.tracking_number': '4015'}, {'s.tracking_number': '4017'}]"
List delayed ParcelPro shipments,False,1.0,0.5570395543483168,True,1.0,1.0000000000000002,MATCH (s:Shipment)-[:ASSIGNED_TO]->(:Courier {name: 'ParcelPro'}) WHERE s.status = 'Delayed' RETURN s.tracking_number,[],MATCH (s:Shipment)-[:ASSIGNED_TO]->(c:Courier {name: 'ParcelPro'}) WHERE s.delivery_date > s.expected_delivery_date RETURN s.tracking_number,[]
Which courier handled shipment 4013?,True,1.0,0.9999999999999998,True,1.0,1.0,MATCH (s:Shipment {tracking_number: '4013'})-[:ASSIGNED_TO]->(c:Courier) RETURN c.name,[{'c.name': 'FastShip'}],MATCH (s:Shipment {tracking_number: '4013'})-[:ASSIGNED_TO]->(c:Courier) RETURN c.name,[{'c.name': 'FastShip'}]
Find shipments delivered before their expected date,True,1.0,1.0,True,0.0,1.0,MATCH (s:Shipment) WHERE s.delivery_date < s.expected_delivery_date RETURN s.tracking_number,"[{'s.tracking_number': '1072'}, {'s.tracking_number': '9897'}, {'s.tracking_number': '4000'}, {'s.tracking_number': '4009'}, {'s.tracking_number': '4010'}, {'s.tracking_number': '4011'}, {'s.tracking_number': '4013'}, {'s.tracking_number': '4019'}]",MATCH (s:Shipment) WHERE s.delivery_date < s.expected_delivery_date RETURN s.tracking_number,"[{'s.tracking_number': '1072'}, {'s.tracking_number': '9897'}, {'s.tracking_number': '4000'}, {'s.tracking_number': '4009'}, {'s.tracking_number': '4010'}, {'s.tracking_number': '4011'}, {'s.tracking_number': '4013'}, {'s.tracking_number': '4019'}]"
Which shipments have missing delivery dates?,True,1.0,1.0,True,0.0,0.9999999999999998,MATCH (s:Shipment) WHERE s.delivery_date IS NULL RETURN s.tracking_number,"[{'s.tracking_number': '1234'}, {'s.tracking_number': '5678'}, {'s.tracking_number': '9101'}, {'s.tracking_number': '1121'}, {'s.tracking_number': '3141'}, {'s.tracking_number': '6501'}, {'s.tracking_number': '2595'}, {'s.tracking_number': '2724'}, {'s.tracking_number': '8824'}, {'s.tracking_number': '5879'}, {'s.tracking_number': '7107'}, {'s.tracking_number': '4001'}, {'s.tracking_number': '4002'}, {'s.tracking_number': '4003'}, {'s.tracking_number': '4004'}, {'s.tracking_number': '4005'}, {'s.tracking_number': '4006'}, {'s.tracking_number': '4007'}, {'s.tracking_number': '4008'}, {'s.tracking_number': '4012'}, {'s.tracking_number': '4014'}, {'s.tracking_number': '4015'}, {'s.tracking_number': '4016'}, {'s.tracking_number': '4017'}, {'s.tracking_number': '4018'}]",MATCH (s:Shipment) WHERE s.delivery_date IS NULL RETURN s.tracking_number,"[{'s.tracking_number': '1234'}, {'s.tracking_number': '5678'}, {'s.tracking_number': '9101'}, {'s.tracking_number': '1121'}, {'s.tracking_number': '3141'}, {'s.tracking_number': '6501'}, {'s.tracking_number': '2595'}, {'s.tracking_number': '2724'}, {'s.tracking_number': '8824'}, {'s.tracking_number': '5879'}, {'s.tracking_number': '7107'}, {'s.tracking_number': '4001'}, {'s.tracking_number': '4002'}, {'s.tracking_number': '4003'}, {'s.tracking_number': '4004'}, {'s.tracking_number': '4005'}, {'s.tracking_number': '4006'}, {'s.tracking_number': '4007'}, {'s.tracking_number': '4008'}, {'s.tracking_number': '4012'}, {'s.tracking_number': '4014'}, {'s.tracking_number': '4015'}, {'s.tracking_number': '4016'}, {'s.tracking_number': '4017'}, {'s.tracking_number': '4018'}]"
Is shipment 4002 still in transit?,False,0.5,0.5645750904786186,False,1.0,0.22670351705160668,MATCH (s:Shipment {tracking_number: '4002'}) RETURN s.in_transit AS in_transit,[{'in_transit': None}],MATCH (s:Shipment {tracking_number: '4002'}) RETURN s.status = 'In Transit' AS in_transit,[{'in_transit': True}]
Show all shipments going to San Diego,False,1.0,0.6629085777926969,False,1.0,0.37806803297537817,MATCH (s:Shipment)-[:DELIVERED_TO]->(d:Location {name: 'San Diego'}) RETURN s.tracking_number,"[{'s.tracking_number': '4012'}, {'s.tracking_number': '4005'}, {'s.tracking_number': '4004'}]","MATCH (s:Shipment)-[:DELIVERED_TO]->(l:Location {name: 'San Diego'}) RETURN s.tracking_number, s.status","[{'s.tracking_number': '4012', 's.status': 'In Transit'}, {'s.tracking_number': '4005', 's.status': 'Pending Dispatch'}, {'s.tracking_number': '4004', 's.status': 'Pending Dispatch'}]"
List shipments that took more than 5 days to deliver,True,0.5714285714285714,1.0,True,0.0,0.9878836307792829,"MATCH (s:Shipment) WHERE duration.between(date(s.dispatch_date), date(s.delivery_date)).days > 5 RETURN s.tracking_number",[{'s.tracking_number': '7731'}],"MATCH (s:Shipment) WHERE duration.between(date(s.dispatch_date), date(s.delivery_date)).days > 5 RETURN s.tracking_number",[{'s.tracking_number': '7731'}]
Find shipments dispatched from Chicago but not yet delivered,False,1.0,0.691588123869568,False,1.0,0.10269227820951943,MATCH (s:Shipment)-[:DISPATCHED_FROM]->(l:Location {name: 'Chicago'}) WHERE NOT EXISTS((s)-[:DELIVERED_TO]->(:Location)) RETURN s.tracking_number,[],MATCH (s:Shipment)-[:DISPATCHED_FROM]->(:Location {name: 'Chicago'}) WHERE s.status <> 'Delivered' RETURN s.tracking_number,"[{'s.tracking_number': '4001'}, {'s.tracking_number': '2595'}]"
Find shipments with conflicting status and dates,False,1.0,0.607365795961128,True,0.0,0.8341356594576202,MATCH (s:Shipment) WHERE (s.status = 'Delivered' AND s.delivery_date IS NULL) OR (s.status = 'Pending' AND s.delivery_date IS NOT NULL) RETURN s.tracking_number,"[{'s.tracking_number': '5678'}, {'s.tracking_number': '3141'}]",MATCH (s:Shipment) WHERE s.status = 'Delivered' AND s.delivery_date IS NULL RETURN s.tracking_number,"[{'s.tracking_number': '5678'}, {'s.tracking_number': '3141'}]"
List shipments that changed delivery location,False,1.0,0.33143338547014867,True,1.0,0.9999999999999998,MATCH (s:Shipment)-[r:CHANGED_DELIVERY_LOCATION]->() RETURN DISTINCT s.tracking_number,[],MATCH (s:Shipment) WHERE s.delivery_location <> s.expected_delivery_location RETURN s.tracking_number,[]
Show all undelivered Phoenix-bound shipments,True,1.0,1.0,True,1.0,0.992099554284383,MATCH (s:Shipment)-[:DELIVERED_TO]->(l:Location {name: 'Phoenix'}) WHERE s.status <> 'Delivered' RETURN s.tracking_number,[{'s.tracking_number': '4006'}],MATCH (s:Shipment)-[:DELIVERED_TO]->(l:Location {name: 'Phoenix'}) WHERE s.status <> 'Delivered' RETURN s.tracking_number,[{'s.tracking_number': '4006'}]
